STO DATABASE;BRANCH DATABASE;REGION SAP;AREA DATABASE;INCIDENT;TTR CUSTOMER;SUMMARY;REPORTED DATE;OWNER GROUP;OWNER;CUSTOMER SEGMENT;SERVICE TYPE;WITEL;WORKZONE;STATUS;STATUS DATE;TICKET ID GAMAS;REPORTED BY;CONTACT PHONE;CONTACT NAME;CONTACT EMAIL;BOOKING DATE;DESCRIPTION ASSIGMENT;REPORTED PRIORITY;SOURCE TICKET;SUBSIDIARY;EXTERNAL TICKET ID;CHANNEL;CUSTOMER TYPE;CLOSED BY;CLOSED / REOPEN by;CUSTOMER ID;CUSTOMER NAME;SERVICE ID;SERVICE NO;SLG;TECHNOLOGY;LAPUL;GAUL;ONU RX;PENDING REASON;DATEMODIFIED;INCIDENT DOMAIN;REGION;SYMPTOM;HIERARCHY PATH;SOLUTION;DESCRIPTION ACTUAL SOLUTION;KODE PRODUK;PERANGKAT;TECHNICIAN;DEVICE NAME;WORKLOG SUMMARY;LAST UPDATE WORKLOG;CLASSIFICATION FLAG;REALM;RELATED TO GAMAS;TSC RESULT;SCC RESULT;TTR AGENT;TTR MITRA;TTR NASIONAL;TTR PENDING;TTR REGION;TTR WITEL;TTR END TO END;NOTE;GUARANTE STATUS;RESOLVE DATE;SN ONT;TIPE ONT;MANUFACTURE ONT;IMPACTED SITE;CAUSE;RESOLUTION;NOTES ESKALASI;RK INFORMATION;EXTERNAL TICKET TIER 3;CUSTOMER CATEGORY;CLASSIFICATION PATH;TERITORY NEAR END;TERITORY FAR END;URGENCY;URGENCY DESCRIPTION
KBL;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:3NE;;;;;;;;;;;
KJR;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:3NE;;;;;;;;;;;
KLN;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:3NE;;;;;;;;;;;
KML;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KNN;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BUO013,BUO054,BUO059];;;;;;;;;;;
KPP;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
KRP;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUO013 BILLING Metro-E;;;;;;;;;;;
LKI;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUO054 BILLING Metro-E;;;;;;;;;;;
MGO;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUO059 BILLING Radio IP;;;;;;;;;;;
MSL;SURABAYA;JATIM;AREA 3;INC47684058;07.03.01;[DWS] CIC_METRO_NEUCENTRIX - BATAM_DOWN [1210754624] [C_CONN][DWS];31/03/26 12.18;TIF ASR NON FBB DISTRICT BATAM;;DWS;METRO-E;RIKEP;LBJ;BACKEND;31/03/26 12.27;INC47688012;MYCAREER;62;pic;;;;;CUSTOMER;;REFID-1774934317895;27;;;;3000004118;TELKOM INFRASTRUKTUR INDONESIA;1210754624;1210754624;;;;0;;;31/03/26 19.21;;REG-1;null | TECHNICAL | Mati Total Logic;;Perbaikan FO Akses Cut;;;;19950321;;gamas INC47688012 | GAMAS AKSES | LBJ |ODC-LBJ-FAK,ODC-LBJ-FBL,ODC-LBJ-FAO,ODC-LBJ-FAH, ODC-LBJ-FBB| INDIKASI FEEDER LOSS | EST 10 JAM | IBOOSTER_28811774933301;2026-03-31 14:16:28.35;TECHNICAL;;YES;N/A | N/A;;00.00.00;00.00.00;00.09.04;00.00.00;00.00.00;00.00.00;07.03.01;;;;;;;;;;;;;;C_CONN_001_001_002;;;1;Super Emergency - C4
MYR;SURABAYA;JATIM;AREA 3;INC47683251;07.21.09;TSEL_METRO_GRT027_BUNGBULANG_GPON02-D3-PMP-2BMG_PREMIUM_PREVENTIVE_REGTSEL4;31/03/26 12.00;TIF ASR NON FBB DISTRICT TASIKMALAYA;;DWS;MM_METRO_ETHERNET;TASIKMALAYA;PMP;BACKEND;31/03/26 12.07;;MYCAREER;6,28E+16;Shift_Manger;;;;;CUSTOMER;;REFID-1774933230096;27;;;;;PT TELEKOMUNIKASI SELULAR;DUMMY_C3700008;DUMMY_C3700008;;;;0;;;31/03/26 19.21;;REG-3;null | TECHNICAL | Bad Performance;;FO Premium Cut;;;;;;datek;2026-03-31 12:01:12.614;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.07.16;00.00.00;00.00.00;00.00.00;07.21.09;;;;;;;;;;;;;;C_CONN_001_001_007;;;4;
OMB;SURABAYA;JATIM;AREA 3;INC47683012;07.22.18;[TIF] MASNET_METRO_DESA ARUAN_DOWN [1758410773] [C_CONN][DWS];31/03/26 11.59;TIF ASR NON FBB DISTRICT PEMATANGSIANTAR;18960008;DWS;METRO-E;SUMUT;BLG;BACKEND;31/03/26 12.05;INC47670664;MYCAREER;628231;PIC;;;Assigned By STO;;CUSTOMER;;REFID-1774933151011;27;;;;3000004119;TELKOM INFRASTRUKTUR INDONESIA;1758410773;1758410773;;;;0;;;31/03/26 19.21;;REG-1;null | TECHNICAL | Mati Total Fisik;;Perbaikan FO Akses Cut;;;;25020211;ODP-BLG-FAH/113;progres pengemalan jc;2026-03-31 18:18:18.133;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.06.01;00.00.00;00.00.00;00.00.00;07.22.18;;;;;;;;;;;;;;C_CONN_001_001_001;;;1;Super Emergency - C4
PME;SURABAYA;JATIM;AREA 3;INC47681976;07.57.53;[TIF] PSN_VPNIP_BANK SUMUT KCP SILIMBAT_DOWN [1703219320] [C_CONN][DWS];31/03/26 11.23;TIF ASR NON FBB DISTRICT PEMATANGSIANTAR;18960008;DWS;ASTINET;SUMUT;BLG;BACKEND;31/03/26 11.32;INC47670664;MYCAREER;6,28E+17;Pak Zul;;;Assigned By STO;;CUSTOMER;;REFID-1774931026521;27;;;;734;TELKOM INFRASTRUKTUR INDONESIA;1703219320;1703219320;;;;0;;;31/03/26 19.21;;REG-1;null | TECHNICAL | Mati Total Fisik;;Perbaikan FO Akses Cut;;;;22020002;ODP-BLG-FAH/004;progres pengemalan jc;2026-03-31 18:17:46.069;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.08.48;00.00.00;00.00.00;00.00.00;07.57.53;;;;;;;;;;;;;;C_CONN_001_001_001;;;1;Super Emergency - C4
PRG;SURABAYA;JATIM;AREA 3;INC47682109;08.13.37;TSEL_RADIOIP_TWT004_MARGASARI_UNDER_GPON00-D1-UNT-3_REFER_INC47681907_IM-20260331-00001400_LOW_DOWN_REGTSEL2;31/03/26 11.19;TIF ASR NON FBB DISTRICT PALEMBANG;;DWS;SITE;LAMPUNG;UNT;BACKEND;31/03/26 13.11;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00001399;56;;;;C3700008;TELEKOMUNIKASI SELULAR;TWT004;TWT004;;;;3;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;;;RADIOIP_TWT004_MARGASARI_UNDER_MGA021_GPON00-D1-UNT-3_REFER_INC47681907_IM-20260331-00001400;2026-03-31 12:04:17.696;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.43;00.00.00;00.00.00;00.00.00;08.13.37;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
PRK;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
RKT;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
SMP;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
SPD;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
SPG;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[TWT004];;;;;;;;;;;
SPK;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TBU;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TWT004 BILLING Radio IP;;;;;;;;;;;
TNS;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WRP;SURABAYA;JATIM;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET : RADIOIP_TWT004_MARGASARI_UNDER_GPON00-D1-UNT-3_REFER_INC47681907_IM-20260331-00001400;;;;;;;;;;;
APR;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
BLI;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TWT004;;;;;;;;;;;
BNO;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Take out :;;;;;;;;;;;
BTR;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SKD149 alarm power;;;;;;;;;;;
CDS;DENPASAR;BALNUS;AREA 3;INC47680819;08.30.10;TSEL_METRO_6NODEB_UNDER_GPON03-D7-PSO-4_REFER_TT_INC47679800_MINOR_DOWN_REGTSEL9;31/03/26 11.03;TIF ASR NON FBB DISTRICT PALU;;DWS;SITE;SULTENG;PSO;BACKEND;31/03/26 12.40;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00001301;56;;;;C3700008;TELEKOMUNIKASI SELULAR;PSO206;PSO206;;;;1;;;31/03/26 19.33;;REG-7;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;20980035;;;;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.05;00.00.00;00.00.00;00.00.00;08.30.10;;;;;;;Jumlah Site:8;;;;;;;C_CONN_TSEL_001_001_001;;;4;Hard
GIN;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:8NE;;;;;;;;;;;
GMK;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:8NE;;;;;;;;;;;
JBR;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:8NE;;;;;;;;;;;
KLM;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KNT;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[MRW095,PSO079,PSO152,PSO065,PSO020,PSO083,PSO206,PSO191];;;;;;;;;;;
KUT;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LVN;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
MMN;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRW095 BILLING Metro-E;;;;;;;;;;;
NGR;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO079 BILLING Metro-E;;;;;;;;;;;
NSD;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO152 BILLING Metro-E;;;;;;;;;;;
PUA;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO065 BILLING Metro-E;;;;;;;;;;;
SAU;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO083 BILLING Metro-E;;;;;;;;;;;
SGR;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO191 BILLING Metro-E;;;;;;;;;;;
SMA;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO020 BILLING Radio IP;;;;;;;;;;;
SMY;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO206 BILLING Radio IP;;;;;;;;;;;
SRR;DENPASAR;BALNUS;AREA 3;INC47679800;08.56.35;TSEL_METRO_6NODEB_UNDER_GPON03-D7-PSO-4_MINOR_DOWN_REGTSEL9;31/03/26 10.36;TIF ASR NON FBB DISTRICT PALU;;DWS;SITE;SULTENG;PSO;BACKEND;31/03/26 11.47;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00000992;56;;;;C3700008;TELEKOMUNIKASI SELULAR;MRW173;MRW173;;;;1;;;31/03/26 19.33;;REG-7;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;22020121;;16.53 - titik cut ditemukan, KU kena pangkas. saat ini tim progres penyambungan;2026-03-31 16:51:06.178;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.59;00.00.00;00.00.00;00.00.00;08.56.35;;;;;;;Jumlah Site:8;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
SWI;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:8NE;;;;;;;;;;;
TBN;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:8NE;;;;;;;;;;;
TOP;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:8NE;;;;;;;;;;;
TPS;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
UBN;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PSO102,PSO079,PSO020,PSO065,PSO191,PSO152,PSO083,PSO206];;;;;;;;;;;
UBU;DENPASAR;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJW;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
END;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO102 BILLING Metro-E;;;;;;;;;;;
KLH;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO079 BILLING Metro-E;;;;;;;;;;;
LBO;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO065 BILLING Metro-E;;;;;;;;;;;
LRT;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO191 BILLING Metro-E;;;;;;;;;;;
LWB;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO152 BILLING Metro-E;;;;;;;;;;;
MMR;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO083 BILLING Metro-E;;;;;;;;;;;
REO;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RTE;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO020 BILLING Radio IP;;;;;;;;;;;
WWR;FLORES;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PSO206 BILLING Radio IP;;;;;;;;;;;
ATB;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAA;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 1;;;;;;;;;;;
BEN;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRW173;;;;;;;;;;;
KEF;KUPANG;BALNUS;AREA 3;INC47679662;09.07.53;TSEL_METRO_2NODEB_UNDER_SW-D1-MUD-TSEL-MRD038_MAJOR_DOWN_REGTSEL2;31/03/26 10.25;TIF ASR NON FBB DISTRICT PALEMBANG;;DWS;SITE;SUMSEL;MUD;BACKEND;31/03/26 10.47;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00001226;56;;;;C3700008;TELEKOMUNIKASI SELULAR;MRD040;MRD040;;;;1;;;31/03/26 19.33;;REG-1;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;15890661;;tema masih penelusuran titik cut;2026-03-31 17:58:59.192;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.37;00.00.00;00.00.00;00.00.00;09.07.53;;;;;;;Jumlah Site:4;;;;;;;C_CONN_TSEL_001_001_001;;;4;Hard
KPN;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:4NE;;;;;;;;;;;
NKN;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:4NE;;;;;;;;;;;
OSP;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:4NE;;;;;;;;;;;
SEB;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
SOE;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[MRD080,MRD040,MRD038,MRD039];;;;;;;;;;;
TNA;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WGP;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRD080 BILLING Radio IP;;;;;;;;;;;
WKB;KUPANG;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRD040 BILLING Metro-E;;;;;;;;;;;
ALA;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRD038 BILLING Metro-E;;;;;;;;;;;
BIM;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRD039 BILLING Radio IP;;;;;;;;;;;
DMP;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMP;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
GER;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 4;;;;;;;;;;;
KMP;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRD080,MRD040,MRD038,MRD039;;;;;;;;;;;
MBG;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 1;;;;;;;;;;;
MLK;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COB021;;;;;;;;;;;
MTR;MATARAM;BALNUS;AREA 3;INC47676556;10.30.04;TSEL_METRO_2NODEB_UNDER_GPON01-D1-BLG-2_MINOR_DOWN_REGTSEL1;31/03/26 09.03;TIF ASR NON FBB DISTRICT PEMATANGSIANTAR;18960008;DWS;SITE;SUMUT;BLG;BACKEND;31/03/26 09.36;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00000789;56;;;;C3700008;TELEKOMUNIKASI SELULAR;BGE455;BGE455;;;;0;;;31/03/26 19.33;;REG-1;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16060246;;progres pengemalan jc;2026-03-31 18:19:35.257;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.03.26;00.00.00;00.00.00;00.00.00;10.30.04;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;4;Hard
PRY;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
SAP;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
SBW;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
SEL;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
SGG;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BGE455,BGE189];;;;;;;;;;;
SIL;MATARAM;BALNUS;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
